Month,Oil_BOPD,Oil_Monthly_BBL,Oil_Cum_BBL,Gas_MCFD,Gas_Monthly_MCF,Gas_Cum_MCF,NGL_BPD,NGL_Monthly_BBL,NGL_Cum_BBL
71,114.1988,3476.21,484924.89,337.5770,10275.84,1336117.21,16.8788,513.79,66805.86
72,113.0429,3441.03,488365.91,334.4436,10180.46,1346297.68,16.7222,509.02,67314.88
73,111.9125,3406.62,491772.53,331.3763,10087.09,1356384.77,16.5688,504.35,67819.24
74,110.8066,3372.95,495145.48,328.3729,9995.67,1366380.44,16.4186,499.78,68319.02
75,109.7245,3340.01,498485.50,325.4315,9906.13,1376286.58,16.2716,495.31,68814.33
76,108.6654,3307.77,501793.27,322.5499,9818.42,1386105.00,16.1275,490.92,69305.25
77,107.6285,3276.21,505069.48,319.7263,9732.47,1395837.46,15.9863,486.62,69791.87
78,106.6131,3245.30,508314.78,316.9590,9648.23,1405485.70,15.8479,482.41,70274.28
79,105.6186,3215.03,511529.81,314.2461,9565.65,1415051.35,15.7123,478.28,70752.57
80,104.6443,3185.37,514715.19,311.5860,9484.68,1424536.03,15.5793,474.23,71226.80
81,103.6895,3156.31,517871.49,308.9772,9405.27,1433941.29,15.4489,470.26,71697.06
82,102.7536,3127.82,520999.31,306.4181,9327.37,1443268.66,15.3209,466.37,72163.43
83,101.8362,3099.89,524099.21,303.9072,9250.93,1452519.59,15.1954,462.55,72625.98
84,100.9366,3072.51,527171.72,301.4431,9175.93,1461695.52,15.0722,458.80,73084.78
85,100.0543,3045.65,530217.37,299.0245,9102.31,1470797.83,14.9512,455.12,73539.89
86,99.1887,3019.31,533236.67,296.6501,9030.03,1479827.86,14.8325,451.50,73991.39
87,98.3395,2993.46,536230.13,294.3186,8959.06,1488786.91,14.7159,447.95,74439.35
88,97.5061,2968.09,539198.22,292.0288,8889.36,1497676.27,14.6014,444.47,74883.81
89,96.6881,2943.19,542141.40,289.7796,8820.89,1506497.16,14.4890,441.04,75324.86
90,95.8851,2918.74,545060.14,287.5698,8753.62,1515250.78,14.3785,437.68,75762.54
91,95.0965,2894.74,547954.88,285.3984,8687.53,1523938.31,14.2699,434.38,76196.92
92,94.3221,2871.17,550826.05,283.2643,8622.57,1532560.88,14.1632,431.13,76628.04
93,93.5615,2848.01,553674.06,281.1666,8558.71,1541119.59,14.0583,427.94,77055.98
94,92.8142,2825.26,556499.32,279.1043,8495.94,1549615.52,13.9552,424.80,77480.78
95,92.0799,2802.91,559302.23,277.0764,8434.21,1558049.73,13.8538,421.71,77902.49
96,91.3582,2780.95,562083.18,275.0822,8373.50,1566423.23,13.7541,418.68,78321.16
97,90.6489,2759.35,564842.53,273.1206,8313.79,1574737.02,13.6560,415.69,78736.85
98,89.9516,2738.13,567580.66,271.1909,8255.05,1582992.07,13.5595,412.75,79149.60
99,89.2660,2717.26,570297.92,269.2923,8197.26,1591189.33,13.4646,409.86,79559.47
100,88.5918,2696.73,572994.65,267.4239,8140.38,1599329.71,13.3712,407.02,79966.49
101,87.9287,2676.55,575671.20,265.5852,8084.41,1607414.13,13.2793,404.22,80370.71
102,87.2764,2656.69,578327.90,263.7752,8029.32,1615443.44,13.1888,401.47,80772.17
103,86.6347,2637.16,580965.06,261.9934,7975.08,1623418.52,13.0997,398.75,81170.93
104,86.0032,2617.94,583583.00,260.2390,7921.67,1631340.19,13.0119,396.08,81567.01
105,85.3818,2599.02,586182.02,258.5113,7869.09,1639209.28,12.9256,393.45,81960.46
106,84.7702,2580.40,588762.42,256.8099,7817.29,1647026.57,12.8405,390.86,82351.33
107,84.1681,2562.08,591324.50,255.1340,7766.28,1654792.85,12.7567,388.31,82739.64
108,83.5754,2544.04,593868.54,253.4830,7716.02,1662508.87,12.6741,385.80,83125.44
109,82.9918,2526.27,596394.81,251.8564,7666.51,1670175.38,12.5928,383.33,83508.77
110,82.4170,2508.77,598903.58,250.2536,7617.72,1677793.10,12.5127,380.89,83889.66
111,81.8510,2491.54,601395.12,248.6741,7569.64,1685362.74,12.4337,378.48,84268.14
112,81.2934,2474.57,603869.70,247.1173,7522.25,1692884.99,12.3559,376.11,84644.25
113,80.7441,2457.85,606327.55,245.5827,7475.54,1700360.53,12.2791,373.78,85018.03
114,80.2029,2441.38,608768.92,244.0699,7429.49,1707790.01,12.2035,371.47,85389.50
115,79.6697,2425.15,611194.07,242.5784,7384.09,1715174.10,12.1289,369.20,85758.70
116,79.1442,2409.15,613603.22,241.1076,7339.32,1722513.42,12.0554,366.97,86125.67
117,78.6262,2393.38,615996.60,239.6572,7295.17,1729808.58,11.9829,364.76,86490.43
118,78.1156,2377.84,618374.44,238.2267,7251.62,1737060.20,11.9113,362.58,86853.01
119,77.6123,2362.52,620736.96,236.8157,7208.67,1744268.87,11.8408,360.43,87213.44
120,77.1161,2347.41,623084.37,235.4238,7166.30,1751435.17,11.7712,358.32,87571.76
121,76.6268,2332.52,625416.89,234.0505,7124.50,1758559.67,11.7025,356.22,87927.98
122,76.1442,2317.83,627734.72,232.6956,7083.25,1765642.93,11.6348,354.16,88282.15
123,75.6683,2303.34,630038.06,231.3585,7042.55,1772685.48,11.5679,352.13,88634.27
124,75.1989,2289.05,632327.12,230.0390,7002.39,1779687.87,11.5020,350.12,88984.39
125,74.7359,2274.96,634602.08,228.7367,6962.74,1786650.61,11.4368,348.14,89332.53
126,74.2790,2261.05,636863.13,227.4512,6923.61,1793574.22,11.3726,346.18,89678.71
127,73.8283,2247.33,639110.47,226.1822,6884.98,1800459.21,11.3091,344.25,90022.96
128,73.3836,2233.80,641344.26,224.9293,6846.85,1807306.06,11.2465,342.34,90365.30
129,72.9447,2220.44,643564.70,223.6923,6809.19,1814115.25,11.1846,340.46,90705.76
130,72.5115,2207.25,645771.95,222.4709,6772.01,1820887.26,11.1235,338.60,91044.36
131,72.0840,2194.24,647966.18,221.2646,6735.30,1827622.56,11.0632,336.76,91381.13
132,71.6619,2181.39,650147.57,220.0733,6699.03,1834321.59,11.0037,334.95,91716.08
133,71.2453,2168.71,652316.28,218.8967,6663.22,1840984.81,10.9448,333.16,92049.24
134,70.8339,2156.19,654472.46,217.7344,6627.84,1847612.64,10.8867,331.39,92380.63
135,70.4278,2143.82,656616.28,216.5863,6592.89,1854205.53,10.8293,329.64,92710.28
136,70.0267,2131.61,658747.90,215.4519,6558.36,1860763.89,10.7726,327.92,93038.19
137,69.6306,2119.56,660867.45,214.3311,6524.24,1867288.13,10.7166,326.21,93364.41
138,69.2394,2107.65,662975.10,213.2237,6490.53,1873778.66,10.6612,324.53,93688.93
139,68.8531,2095.89,665070.99,212.1293,6457.22,1880235.87,10.6065,322.86,94011.79
140,68.4714,2084.27,667155.26,211.0478,6424.29,1886660.17,10.5524,321.21,94333.01
141,68.0943,2072.79,669228.05,209.9788,6391.76,1893051.92,10.4989,319.59,94652.60
142,67.7218,2061.45,671289.50,208.9222,6359.59,1899411.51,10.4461,317.98,94970.58
143,67.3538,2050.25,673339.75,207.8778,6327.80,1905739.32,10.3939,316.39,95286.97
144,66.9901,2039.18,675378.93,206.8410,6296.24,1912035.56,10.3421,314.81,95601.78
145,66.6307,2028.24,677407.17,205.8094,6264.84,1918300.40,10.2905,313.24,95915.02
146,66.2755,2017.43,679424.60,204.7829,6233.59,1924533.99,10.2391,311.68,96226.70
147,65.9245,2006.74,681431.34,203.7616,6202.50,1930736.49,10.1881,310.13,96536.82
148,65.5775,1996.18,683427.52,202.7453,6171.57,1936908.06,10.1373,308.58,96845.40
149,65.2346,1985.74,685413.26,201.7341,6140.79,1943048.84,10.0867,307.04,97152.44
150,64.8955,1975.42,687388.68,200.7280,6110.16,1949159.00,10.0364,305.51,97457.95
151,64.5603,1965.22,689353.90,199.7268,6079.68,1955238.69,9.9863,303.98,97761.93
152,64.2289,1955.13,691309.02,198.7307,6049.36,1961288.05,9.9365,302.47,98064.40
153,63.9012,1945.15,693254.17,197.7395,6019.19,1967307.24,9.8870,300.96,98365.36
154,63.5771,1935.29,695189.46,196.7533,5989.17,1973296.41,9.8377,299.46,98664.82
155,63.2567,1925.53,697115.00,195.7720,5959.30,1979255.71,9.7886,297.96,98962.79
156,62.9398,1915.89,699030.88,194.7955,5929.58,1985185.28,9.7398,296.48,99259.26
157,62.6263,1906.35,700937.23,193.8240,5900.00,1991085.28,9.6912,295.00,99554.26
158,62.3140,1896.84,702834.06,192.8573,5870.58,1996955.86,9.6429,293.53,99847.79
159,62.0032,1887.38,704721.44,191.8954,5841.30,2002797.16,9.5948,292.06,100139.86
160,61.6939,1877.96,706599.40,190.9383,5812.16,2008609.32,9.5469,290.61,100430.47
161,61.3862,1868.60,708468.00,189.9860,5783.17,2014392.49,9.4993,289.16,100719.62
162,61.0801,1859.28,710327.28,189.0385,5754.33,2020146.83,9.4519,287.72,101007.34
163,60.7754,1850.00,712177.28,188.0956,5725.63,2025872.46,9.4048,286.28,101293.62
164,60.4723,1840.78,714018.06,187.1575,5697.07,2031569.53,9.3579,284.85,101578.48
165,60.1707,1831.60,715849.66,186.2240,5668.66,2037238.19,9.3112,283.43,101861.91
166,59.8706,1822.46,717672.12,185.2953,5640.39,2042878.58,9.2648,282.02,102143.93
167,59.5720,1813.37,719485.49,184.3711,5612.26,2048490.83,9.2186,280.61,102424.54
168,59.2749,1804.33,721289.82,183.4515,5584.26,2054075.10,9.1726,279.21,102703.75
169,58.9792,1795.33,723085.15,182.5366,5556.41,2059631.51,9.1268,277.82,102981.58
170,58.6851,1786.37,724871.52,181.6262,5528.70,2065160.21,9.0813,276.44,103258.01
171,58.3924,1777.46,726648.98,180.7203,5501.13,2070661.34,9.0360,275.06,103533.07
172,58.1012,1768.60,728417.58,179.8190,5473.69,2076135.03,8.9909,273.68,103806.75
173,57.8114,1759.78,730177.36,178.9221,5446.39,2081581.42,8.9461,272.32,104079.07
174,57.5230,1751.00,731928.36,178.0297,5419.22,2087000.64,8.9015,270.96,104350.03
175,57.2361,1742.27,733670.63,177.1418,5392.20,2092392.84,8.8571,269.61,104619.64
176,56.9507,1733.58,735404.21,176.2583,5365.30,2097758.14,8.8129,268.27,104887.91
177,56.6666,1724.93,737129.14,175.3792,5338.54,2103096.68,8.7690,266.93,105154.83
178,56.3840,1716.33,738845.47,174.5045,5311.92,2108408.60,8.7252,265.60,105420.43
179,56.1028,1707.77,740553.24,173.6342,5285.42,2113694.02,8.6817,264.27,105684.70
180,55.8230,1699.25,742252.49,172.7681,5259.06,2118953.09,8.6384,262.95,105947.65
181,55.5446,1690.78,743943.27,171.9065,5232.83,2124185.92,8.5953,261.64,106209.30
182,55.2675,1682.34,745625.61,171.0491,5206.73,2129392.65,8.5525,260.34,106469.63
183,54.9919,1673.95,747299.57,170.1960,5180.77,2134573.42,8.5098,259.04,106728.67
184,54.7176,1665.60,748965.17,169.3471,5154.93,2139728.34,8.4674,257.75,106986.42
185,54.4447,1657.30,750622.47,168.5025,5129.22,2144857.56,8.4251,256.46,107242.88
186,54.1732,1649.03,752271.50,167.6621,5103.63,2149961.19,8.3831,255.18,107498.06
187,53.9030,1640.81,753912.30,166.8259,5078.18,2155039.37,8.3413,253.91,107751.97
188,53.6341,1632.62,755544.93,165.9938,5052.85,2160092.22,8.2997,252.64,108004.61
189,53.3666,1624.48,757169.41,165.1659,5027.65,2165119.87,8.2583,251.38,108255.99
190,53.1005,1616.38,758785.79,164.3421,5002.57,2170122.45,8.2171,250.13,108506.12
191,52.8356,1608.32,760394.10,163.5225,4977.62,2175100.07,8.1761,248.88,108755.00
192,52.5721,1600.29,761994.40,162.7069,4952.80,2180052.87,8.1353,247.64,109002.64
193,52.3099,1592.31,763586.71,161.8954,4928.10,2184980.97,8.0948,246.40,109249.05
194,52.0490,1584.37,765171.08,161.0880,4903.52,2189884.49,8.0544,245.18,109494.22
195,51.7894,1576.47,766747.55,160.2845,4879.06,2194763.55,8.0142,243.95,109738.18
196,51.5311,1568.61,768316.16,159.4851,4854.73,2199618.27,7.9743,242.74,109980.91
197,51.2741,1560.78,769876.94,158.6897,4830.51,2204448.79,7.9345,241.53,110222.44
198,51.0184,1553.00,771429.94,157.8982,4806.42,2209255.21,7.8949,240.32,110462.76
199,50.7639,1545.25,772975.19,157.1107,4782.45,2214037.66,7.8555,239.12,110701.88
200,50.5107,1537.55,774512.74,156.3271,4758.60,2218796.25,7.8164,237.93,110939.81
201,50.2588,1529.88,776042.62,155.5474,4734.86,2223531.12,7.7774,236.74,111176.56
202,50.0081,1522.25,777564.87,154.7716,4711.25,2228242.36,7.7386,235.56,111412.12
203,49.7587,1514.66,779079.52,153.9997,4687.75,2232930.12,7.7000,234.39,111646.51
204,49.5105,1507.10,780586.62,153.2316,4664.37,2237594.49,7.6616,233.22,111879.72
205,49.2636,1499.58,782086.21,152.4674,4641.11,2242235.59,7.6234,232.06,112111.78
206,49.0179,1492.11,783578.31,151.7069,4617.96,2246853.55,7.5853,230.90,112342.68
207,48.7734,1484.66,785062.98,150.9503,4594.93,2251448.48,7.5475,229.75,112572.42
208,48.5302,1477.26,786540.23,150.1974,4572.01,2256020.49,7.5099,228.60,112801.02
209,48.2881,1469.89,788010.12,149.4483,4549.21,2260569.69,7.4724,227.46,113028.48
210,48.0473,1462.56,789472.68,148.7029,4526.52,2265096.21,7.4351,226.33,113254.81
211,47.8076,1455.26,790927.95,147.9613,4503.94,2269600.15,7.3981,225.20,113480.01
212,47.5692,1448.01,792375.95,147.2233,4481.48,2274081.63,7.3612,224.07,113704.08
213,47.3320,1440.78,793816.74,146.4890,4459.13,2278540.75,7.3245,222.96,113927.04
214,47.0959,1433.60,795250.34,145.7584,4436.89,2282977.64,7.2879,221.84,114148.88
215,46.8610,1426.45,796676.79,145.0314,4414.76,2287392.40,7.2516,220.74,114369.62
216,46.6273,1419.33,798096.12,144.3081,4392.74,2291785.13,7.2154,219.64,114589.26
217,46.3947,1412.26,799508.38,143.5883,4370.83,2296155.96,7.1794,218.54,114807.80
218,46.1633,1405.21,800913.59,142.8722,4349.03,2300504.99,7.1436,217.45,115025.25
219,45.9331,1398.20,802311.79,142.1596,4327.34,2304832.33,7.1080,216.37,115241.62
220,45.7040,1391.23,803703.02,141.4506,4305.76,2309138.09,7.0725,215.29,115456.90
221,45.4760,1384.29,805087.31,140.7451,4284.28,2313422.37,7.0373,214.21,115671.12
222,45.2492,1377.39,806464.70,140.0431,4262.91,2317685.28,7.0022,213.15,115884.26
223,45.0235,1370.52,807835.21,139.3447,4241.65,2321926.93,6.9672,212.08,116096.35
224,44.7990,1363.68,809198.90,138.6497,4220.50,2326147.43,6.9325,211.02,116307.37
225,44.5756,1356.88,810555.78,137.9582,4199.45,2330346.88,6.8979,209.97,116517.34
226,44.3532,1350.11,811905.89,137.2701,4178.50,2334525.38,6.8635,208.93,116726.27
227,44.1320,1343.38,813249.27,136.5855,4157.66,2338683.04,6.8293,207.88,116934.15
228,43.9119,1336.68,814585.95,135.9042,4136.93,2342819.97,6.7952,206.85,117141.00
229,43.6929,1330.01,815915.96,135.2264,4116.29,2346936.26,6.7613,205.81,117346.81
230,43.4750,1323.38,817239.34,134.5520,4095.76,2351032.02,6.7276,204.79,117551.60
231,43.2581,1316.78,818556.11,133.8809,4075.33,2355107.35,6.6940,203.77,117755.37
232,43.0424,1310.21,819866.32,133.2132,4055.01,2359162.36,6.6607,202.75,117958.12
233,42.8277,1303.68,821170.00,132.5488,4034.78,2363197.15,6.6274,201.74,118159.86
234,42.6141,1297.17,822467.17,131.8877,4014.66,2367211.81,6.5944,200.73,118360.59
235,42.4016,1290.70,823757.88,131.2299,3994.64,2371206.44,6.5615,199.73,118560.32
236,42.1901,1284.27,825042.15,130.5754,3974.71,2375181.16,6.5288,198.74,118759.06
237,41.9797,1277.86,826320.01,129.9241,3954.89,2379136.05,6.4962,197.74,118956.80
238,41.7703,1271.49,827591.49,129.2761,3935.16,2383071.21,6.4638,196.76,119153.56
239,41.5620,1265.15,828856.64,128.6313,3915.54,2386986.75,6.4316,195.78,119349.34
240,41.3547,1258.84,830115.48,127.9898,3896.01,2390882.76,6.3995,194.80,119544.14
