Month,Oil_BOPD,Oil_Monthly_BBL,Oil_Cum_BBL,Gas_MCFD,Gas_Monthly_MCF,Gas_Cum_MCF,NGL_BPD,NGL_Monthly_BBL,NGL_Cum_BBL
1,587.0022,17868.35,17868.35,1481.3552,45092.45,45092.45,74.0678,2254.62,2254.62
2,547.3330,16660.82,34529.16,1392.8219,42397.50,87489.95,69.6411,2119.87,4374.50
3,513.1196,15619.36,50148.52,1315.5821,40046.32,127536.27,65.7791,2002.32,6376.81
4,483.2833,14711.14,64859.67,1247.5323,37974.88,165511.15,62.3766,1898.74,8275.56
5,457.0149,13911.54,78771.20,1187.0690,36134.38,201645.53,59.3534,1806.72,10082.28
6,433.6956,13201.69,91972.89,1132.9465,34486.89,236132.43,56.6473,1724.34,11806.62
7,412.8430,12566.94,104539.84,1084.1824,33002.51,269134.94,54.2091,1650.13,13456.75
8,394.0760,11995.67,116535.51,1039.9901,31657.30,300792.24,51.9995,1582.87,15039.61
9,377.0888,11478.58,128014.09,999.7326,30431.86,331224.10,49.9866,1521.59,16561.20
10,361.6333,11008.12,139022.21,962.8878,29310.30,360534.40,48.1444,1465.52,18026.72
11,347.5062,10578.09,149600.30,929.0234,28279.47,388813.87,46.4512,1413.97,19440.69
12,334.5389,10183.36,159783.66,897.7786,27328.38,416142.26,44.8889,1366.42,20807.11
13,322.5905,9819.65,169603.32,868.8496,26447.78,442590.04,43.4425,1322.39,22129.50
14,311.5424,9483.35,179086.67,841.9785,25629.82,468219.86,42.0989,1281.49,23410.99
15,301.2939,9171.39,188258.05,816.9449,24867.80,493087.66,40.8472,1243.39,24654.38
16,291.7589,8881.14,197139.19,793.5595,24155.95,517243.62,39.6780,1207.80,25862.18
17,282.8635,8610.37,205749.56,771.6586,23489.29,540732.91,38.5829,1174.46,27036.65
18,274.5437,8357.11,214106.67,751.0998,22863.48,563596.38,37.5550,1143.17,28179.82
19,266.7440,8119.69,222226.36,731.7586,22274.73,585871.12,36.5879,1113.74,29293.56
20,259.4156,7896.61,230122.97,713.5258,21719.73,607590.84,35.6763,1085.99,30379.54
21,252.5161,7686.59,237809.56,696.3052,21195.53,628786.37,34.8153,1059.78,31439.32
22,246.0078,7488.48,245298.03,680.0114,20699.55,649485.92,34.0006,1034.98,32474.30
23,239.8574,7301.26,252599.30,664.5687,20229.47,669715.39,33.2284,1011.47,33485.77
24,234.0355,7124.04,259723.34,649.9094,19783.24,689498.63,32.4955,989.16,34474.93
25,228.5157,6956.02,266679.36,635.9732,19359.02,708857.65,31.7987,967.95,35442.88
26,223.2744,6796.47,273475.83,622.7056,18955.16,727812.81,31.1353,947.76,36390.64
27,218.2905,6644.76,280120.59,610.0579,18570.16,746382.98,30.5029,928.51,37319.15
28,213.5450,6500.31,286620.90,597.9858,18202.69,764585.66,29.8993,910.13,38229.28
29,209.0207,6362.59,292983.49,586.4494,17851.52,782437.18,29.3225,892.58,39121.86
30,204.7020,6231.13,299214.62,575.4123,17515.55,799952.73,28.7706,875.78,39997.64
31,200.5749,6105.50,305320.12,564.8416,17193.78,817146.51,28.2421,859.69,40857.33
32,196.6265,5985.31,311305.43,554.7071,16885.29,834031.80,27.7354,844.26,41701.59
33,192.8452,5870.21,317175.64,544.9814,16589.23,850621.03,27.2491,829.46,42531.05
34,189.2202,5759.86,322935.50,535.6390,16304.85,866925.88,26.7820,815.24,43346.29
35,185.7418,5653.98,328589.48,526.6570,16031.44,882957.32,26.3329,801.57,44147.87
36,182.4011,5552.29,334141.77,518.0141,15768.35,898725.67,25.9007,788.42,44936.28
37,179.1898,5454.54,339596.31,509.6905,15514.98,914240.65,25.4845,775.75,45712.03
38,176.1003,5360.49,344956.80,501.6683,15270.78,929511.43,25.0834,763.54,46475.57
39,173.1256,5269.94,350226.74,493.9307,15035.25,944546.68,24.6965,751.76,47227.33
40,170.2592,5182.69,355409.44,486.4621,14807.91,959354.59,24.3231,740.40,47967.73
41,167.4953,5098.56,360507.99,479.2483,14588.32,973942.91,23.9624,729.42,48697.15
42,164.8281,5017.37,365525.36,472.2759,14376.08,988318.99,23.6138,718.80,49415.95
43,162.2527,4938.97,370464.33,465.5325,14170.81,1002489.80,23.2766,708.54,50124.49
44,159.7641,4863.22,375327.55,459.0065,13972.16,1016461.95,22.9503,698.61,50823.10
45,157.3580,4789.98,380117.53,452.6871,13779.80,1030241.75,22.6344,688.99,51512.09
46,155.0302,4719.12,384836.65,446.5643,13593.42,1043835.17,22.3282,679.67,52191.76
47,152.7768,4650.53,389487.17,440.6287,13412.74,1057247.90,22.0314,670.64,52862.40
48,150.5943,4584.09,394071.26,434.8715,13237.49,1070485.39,21.7436,661.87,53524.27
49,148.4792,4519.71,398590.97,429.2844,13067.42,1083552.81,21.4642,653.37,54177.64
50,146.4284,4457.28,403048.25,423.8597,12902.29,1096455.10,21.1930,645.11,54822.75
51,144.4388,4396.72,407444.97,418.5901,12741.88,1109196.98,20.9295,637.09,55459.85
52,142.5078,4337.94,411782.90,413.4688,12585.99,1121782.97,20.6734,629.30,56089.15
53,140.6327,4280.86,416063.76,408.4893,12434.42,1134217.39,20.4245,621.72,56710.87
54,138.8110,4225.41,420289.17,403.6457,12286.97,1146504.36,20.1823,614.35,57325.22
55,137.0405,4171.51,424460.68,398.9321,12143.49,1158647.85,19.9466,607.17,57932.39
56,135.3188,4119.11,428579.79,394.3433,12003.81,1170651.66,19.7172,600.19,58532.58
57,133.6441,4068.13,432647.91,389.8740,11867.77,1182519.43,19.4937,593.39,59125.97
58,132.0143,4018.51,436666.43,385.5196,11735.22,1194254.65,19.2760,586.76,59712.73
59,130.4276,3970.21,440636.64,381.2754,11606.02,1205860.67,19.0638,580.30,60293.03
60,128.8822,3923.17,444559.82,377.1372,11480.06,1217340.73,18.8569,574.00,60867.04
61,127.3766,3877.34,448437.16,373.1009,11357.19,1228697.92,18.6550,567.86,61434.90
62,125.9091,3832.67,452269.83,369.1625,11237.31,1239935.22,18.4581,561.87,61996.76
63,124.4783,3789.12,456058.95,365.3185,11120.29,1251055.52,18.2659,556.01,62552.78
64,123.0828,3746.64,459805.59,361.5653,11006.05,1262061.57,18.0783,550.30,63103.08
65,121.7212,3705.19,463510.78,357.8996,10894.46,1272956.03,17.8950,544.72,63647.80
66,120.3924,3664.74,467175.53,354.3183,10785.45,1283741.48,17.7159,539.27,64187.07
67,119.0951,3625.25,470800.78,350.8183,10678.91,1294420.39,17.5409,533.95,64721.02
68,117.8281,3586.69,474387.47,347.3969,10574.76,1304995.15,17.3698,528.74,65249.76
69,116.5904,3549.01,477936.48,344.0512,10472.92,1315468.07,17.2026,523.65,65773.40
70,115.3809,3512.20,481448.68,340.7787,10373.30,1325841.37,17.0389,518.67,66292.07
