Universal Unit ID,Legacy Unit Number,Cinco Alias,STR North,STR Middle,STR South,STR List,Unit Size (Acres),Formation,County,Operator,Unit Type,Spacing Order,Pooling Order,ID Status,Rank,Cherokee Tier,Total NMA,Lease Count,Calculated WI,Well Count,Well Names
121706WU01,1334,Cinco 32,6-12N-17W,7-12N-17W,18-12N-17W,6-12N-17W; 7-12N-17W; 18-12N-17W,1920,,Custer,TERRITORY,Non-Op,,2025-003404T,provisional,,,112.66,2,0.058677,1,WF CALL 6-7-18 1HXX
131926WU01,573,Cinco 33,26-13N-19W,,35-13N-19W,26-13N-19W; 35-13N-19W,1280,,Custer,UNKNOWN,Non-Op,,,provisional,,,109.6773,3,0.085685,0,
131928WU01,627,Cinco 34,28-13N-19W,,33-13N-19W,28-13N-19W; 33-13N-19W,1280,,Custer,UNKNOWN,Non-Op,,,provisional,,,90.283,2,0.070534,0,
121828WU01,A35,Cinco 35,28-12N-18W,,33-12N-18W,28-12N-18W; 33-12N-18W,1280,Cherokee,Custer,CRAWLEY,Non-Op,2025-002951,,provisional,,,90,1,0.070313,0,
142328WU01,45,Cinco 36,28-14N-23W,,33-14N-23W,28-14N-23W; 33-14N-23W,1280,,Roger Mills,CRAWLEY,Non-Op,,,provisional,,,84.84,2,0.066281,0,
151932WU01,1145,Cinco 37,32-15N-19W,,5-14N-19W,32-15N-19W; 5-14N-19W,1280,,Custer,DUNCAN,Non-Op,,,provisional,,,83.8,1,0.065469,0,
132311WU01,28,Cinco 38,11-13N-23W,,14-13N-23W,11-13N-23W; 14-13N-23W,1280,,Roger Mills,CRAWLEY,Non-Op,,,provisional,,,68.4,1,0.053438,1,BEATY 1-2-11-14CHX
121804WU01,A34,Cinco 39,4-12N-18W,,9-12N-18W,4-12N-18W; 9-12N-18W,1280,,Custer,,Potential Drillable,,,provisional,,,71.08,3,0.055531,0,
141814WU01,1083,Cinco 40,14-14N-18W,,23-14N-18W,14-14N-18W; 23-14N-18W,1280,,Custer,CINCO,Potential Drillable,,,provisional,6,2,66.2945,6,0.051793,0,
141813WU01,A15,Cinco 41,13-14N-18W,,24-14N-18W,13-14N-18W; 24-14N-18W,1280,,Custer,UNKNOWN,Non-Op,,,provisional,7,2,91.121,5,0.071188,0,
131902WU01,1308,Cinco 42,2-13N-19W,,11-13N-19W,2-13N-19W; 11-13N-19W,1280,,Custer,NADEL & GUSSMAN,Non-Op,,,provisional,,,40.7,1,0.031797,0,
131829WU01,A38,Cinco 43,29-13N-18W,,32-13N-18W,29-13N-18W; 32-13N-18W,1280,,Custer,TERRITORY,Non-Op,,,provisional,,,58.75,2,0.045898,1,JOSHUA DEETS 29-32 1HX
151914WU01,19,Cinco 44,14-15N-19W,,23-15N-19W,14-15N-19W; 23-15N-19W,1280,,Custer,ROCKIES,Non-Op,,,provisional,,,40,1,0.03125,0,
152427WU01,60,Cinco 45,27-15N-24W,,34-15N-24W,27-15N-24W; 34-15N-24W,1280,,Roger Mills,CRAWLEY,Non-Op,,,provisional,,,39.915,3,0.031184,1,SKY KING 2-21-27-34CHX
111906WU01,A33,Cinco 47,6-11N-19W,,7-11N-19W,6-11N-19W; 7-11N-19W,1280,,Washita,,Non-Op,,,provisional,,,30,1,0.023438,0,
151930WU01,587,Cinco 48,30-15N-19W,,31-15N-19W,30-15N-19W; 31-15N-19W,1280,,Custer,MEWBOURNE,Non-Op,,,provisional,,,24.8045,1,0.019379,1,WANDA 30/31 DM 1H
142314WU01,A32,Cinco 49,14-14N-23W,23-14N-23W,26-14N-23W,14-14N-23W; 23-14N-23W; 26-14N-23W,1920,,Roger Mills,MEWBOURNE,Non-Op,2025-004082,,provisional,,,22.657,1,0.011801,0,
131906WU01,1195,Cinco 50,6-13N-19W,,7-13N-19W,6-13N-19W; 7-13N-19W,1280,,Custer,NADEL & GUSSMAN,Non-Op,,,provisional,,,20.4,1,0.015938,1,QUETZAL 1-6-7XHR
141834WU01,649,Cinco 51,34-14N-18W,,3-13N-18W,34-14N-18W; 3-13N-18W,1280,,Custer,DUNCAN,Non-Op,,,provisional,,,18.67,2,0.014586,0,
162435WU01,234,Cinco 52,35-16N-24W,,2-15N-24W,35-16N-24W; 2-15N-24W,1280,,Roger Mills,SANDRIDGE,Assigned Out,,,confirmed,,,0,0,0,2,GRAYS PEAK 1524 1-2H35H; GRAYS PEAK 1524 2-2H35H
131903WU01,A37,Cinco 53,3-13N-19W,,34-14N-19W,3-13N-19W; 34-14N-19W,1280,,Custer,REDHAWK,Non-Op,,,provisional,,,14.6,1,0.011406,0,
142331WU01,27,Cinco 54,31-14N-23W,,6-13N-23W,31-14N-23W; 6-13N-23W,1280,,Roger Mills,CRAWLEY,Non-Op,,,provisional,,,10.81,1,0.008445,0,
121819WU01,57,Cinco 55,19-12N-18W,,30-12N-18W,19-12N-18W; 30-12N-18W,1280,,Custer,CRAWLEY,Non-Op,,,provisional,,,20.8733,4,0.016307,0,
151819WU01,1333,Cinco 56,19-15N-18W,,30-15N-18W,19-15N-18W; 30-15N-18W,1280,,Custer,,Non-Op,,,provisional,,,11.25,2,0.008789,0,
131904WU01,440,Cinco 57,4-13N-19W,,9-13N-19W,4-13N-19W; 9-13N-19W,1280,,Custer,NADEL & GUSSMAN,Non-Op,,,provisional,,,10,1,0.007813,1,PUFFIN 1-4-9XH
142334WU01,30,Cinco 59,34-14N-23W,,3-13N-23W,34-14N-23W; 3-13N-23W,1280,,Roger Mills,CRAWLEY,Non-Op,,,provisional,,,4.013,1,0.003135,1,JAMES 1-3-34CHX
131805WU01,1312,Cinco 60,5-13N-18W,,8-13N-18W,5-13N-18W; 8-13N-18W,1280,,Custer,UNKNOWN,Non-Op,,,provisional,,,93.4,2,0.072969,0,
141825WU01,708,Cinco 61,25-14N-18W,,36-14N-18W,25-14N-18W; 36-14N-18W,1280,,Custer,UNKNOWN,Non-Op,,,provisional,,,53.34,2,0.041672,1,EAGAN 1-36.25H
131801WU01,715,Cinco 62,1-13N-18W,,12-13N-18W,1-13N-18W; 12-13N-18W,1280,,Custer,ANTHEM,Non-Op,,,provisional,,,47.5,2,0.037109,1,EAGAN 1-1.12H
141727WU01,64,Cinco 63,27-14N-17W,,34-14N-17W,27-14N-17W; 34-14N-17W,1280,,Custer,ANTHEM,Non-Op,,,provisional,,,22.5,1,0.017578,1,MACHO MAN 3J 1-2734H
131804WU01,650,Cinco 64,4-13N-18W,,9-13N-18W,4-13N-18W; 9-13N-18W,1280,,Custer,,Non-Op,,,provisional,,,20.1575,1,0.015748,0,
141819WU01,A7,Cinco 65,19-14N-18W,30-14N-18W,31-14N-18W,19-14N-18W; 30-14N-18W; 31-14N-18W,1920,,Custer,,Non-Op,,,provisional,,,99.7624,2,0.05196,0,
132433WU01,A1,Cinco 66,33-13N-24W,,5-12N-24W,33-13N-24W; 5-12N-24W,1280,,Roger Mills,,Non-Op,,,provisional,,,18.2087,1,0.014226,0,
141826WU01,A27,Cinco 67,26-14N-18W,,35-14N-18W,26-14N-18W; 35-14N-18W,1280,,Custer,,Non-Op,,,provisional,5,2,15.1111,2,0.011806,0,
142402WU01,32,Cinco 68,2-14N-24W,,11-14N-24W,2-14N-24W; 11-14N-24W,1280,,Roger Mills,UPLAND,Non-Op,,,provisional,,,9.3278,1,0.007287,0,
151729WU01,987,Cinco 69,29-15N-17W,,32-15N-17W,29-15N-17W; 32-15N-17W,1280,,Washita,,Non-Op,,,provisional,,,6.2857,1,0.004911,0,
131806WU01,865,Cinco 70,6-13N-18W,7-13N-18W,18-13N-18W,6-13N-18W; 7-13N-18W; 18-13N-18W,1920,,Custer,KAISER FRANCIS,Non-Op,,,provisional,,,20.4444,2,0.010648,0,
121404WU01,A30,Cinco 71,4-12N-14W,,9-12N-14W,4-12N-14W; 9-12N-14W,1280,,Blaine,,Non-Op,,,provisional,,,4,1,0.003125,0,
141807WU01,13,Cinco 72,7-14N-18W,,18-14N-18W,7-14N-18W; 18-14N-18W,1280,,Custer,DUNCAN,Non-Op,,2024-004000,provisional,,,3.3333,1,0.002604,0,
141912WU01,558,Cinco 73,12-14N-19W,,13-14N-19W,12-14N-19W; 13-14N-19W,1280,,Custer,DUNCAN,Non-Op,,,provisional,,,1.6138,1,0.001261,1,TOPAZ 1-13HX(R)
