"Unit Number (Primary)","SUM of Net Mineral Acres","SUM of W.I.","SUM of NRI","Operator","Unit Type","North_STR","Middle_STR","South_STR","Unit Size","Unit No.","Primary Target","Secondary Target","Key Offsets","Cherokee Tier","Red Fork Tier","Rank","Comments","Drilling Commentary","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","380.6","0.29730","0.23849","OSTRICH","Drillable","15-14N-18W","","22-14N-18W","1280","","Red Fork","Atoka / Cleveland / Skinner / Cherokee Shale","DUNCAN Monarch (RDFK) / Peridot (CHRK?)","2","3","9","Limited data, however Red Fork offset looks very strong - thick and productive.. Would like better control in section.. might need to look for seismic to help confirm presence of sand","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1070","370.0","0.28906","0.22836","OSTRICH","Potential Drillable","2-12N-19W","","11-12N-19W","1280","1070","Cherokee Shale / Red Fork","Cleveland Shale","","1","2","1","Cherokee and Red Fork appear to be strong - very likely these are HIGH GOR targets - but should be prolific. Vertical tests show Red Fork to be gassy....VERY interesting unconventional signature in the CLEVELAND that looks like a Cherokee-type play... Need to examine further - well was DST'd in this CLVD section with ""show of gas"" - need to see MUDLOGS ","Drill from S-N up-dip and into possible feature out of section on the north side","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1067","336.4","0.26279","0.20890","OSTRICH","Potential Drillable","8-11N-19W","","17-11N-19W","1280","1067","Cherokee Shale ","Cleveland Shale / Cottage Grove Shale","","2","2","9","Cherokee appears to be somewhat granite-washy.. BUT a surprisng ammount of OIL in the system... Appears to be a very good prospect IMO..Atoka is very deep, but surprisingly makes Oil - secondary system ?? CLEVELAND / COTTAGE GROVE interval looks VERY interesting.. Hot shales that apear to have storage and at depth of present Cherokee core... NEED GAS LOG ","Limited Control Drill from N-S into fault that mayexist on southern end","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1085","325.0","0.25391","0.20133","OSTRICH","Potential Drillable","17-15N-17W","","20-15N-17W","1280","1085","Red Fork","Cottage Grove","","3","2","4","Thinner ""dirty"" Red Fork pay - maybe not as quality as Amb Inn - very good ""dirty"" analouge for contributing tank below ","Strong well contrl for getting lateral down ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1076","320.0","0.25000","0.19750","OSTRICH","Potential Drillable","15-12N-19W","","22-12N-19W","1280","1076","Cherokee Shale / Red Fork","Cleveland Shale","","1","3","2","Cherokee and Red Fork appear to be strong - very likely these are HIGH GOR targets - but should be prolific. Vertical tests show Red Fork to be gassy....VERY interesting unconventional signature in the CLEVELAND that looks like a Cherokee-type play... Need to examine further - well was DST'd in this CLVD section with ""show of gas"" - need to see MUDLOGS ","Drill from S-N up-dip and into possible feature out of section on the north side","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"640","308.2","0.24080","0.19160","UNKNOWN","Non-Op","13-13N-19W","","24-13N-19W","1280","640","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"522","284.7","0.14829","0.11911","ANTHEM","Potential Drillable","1-14N-17W","12-14N-17W","13-14N-17W","1920","522","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4","273.9","0.21396","0.17038","CRAWLEY","Potential Drillable","32-12N-19W","","5-11N-19W","1280","4","Cherokee Shale / Red Fork","Atoka / Cleveland","","2","2","8","Cherokee appears to be somewhat granite-washy.. but should be strong wells.. Red Fork is present and looks good - multiple landing points - Very likely Cherokee and Red Fork are both HIGH GOR given depth.. Atoka is very deep, but surprisingly makes Oil - secondary system ?? Cleveland is also present - need to explore further","Drill from S-N up-dip on well control","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"638","240.0","0.18750","0.15000","OSTRICH","Non-Op","25-13N-19W","","36-13N-19W","1280","638","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11","238.8","0.18652","0.14744","CRAWLEY","Non-Op","26-12N-19W","","35-12N-19W","1280","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
